[I] 2024/09/17 08:25:26.745+0300 [              engine] loading settings
[I] 2024/09/17 08:25:26.818+0300 [              window] max texture size is 16384
[I] 2024/09/17 08:25:26.819+0300 [              window] GL Vendor: Intel
[I] 2024/09/17 08:25:26.819+0300 [              window] GL Renderer: Mesa Intel(R) Graphics (RKL GT1)
[I] 2024/09/17 08:25:26.819+0300 [              window] GLFW: 3.3.2 X11 GLX EGL OSMesa clock_gettime evdev shared
[I] 2024/09/17 08:25:26.819+0300 [              engine] loading controls
[I] 2024/09/17 08:25:26.861+0300 [            al-audio] initialized
[I] 2024/09/17 08:25:26.861+0300 [            al-audio] max mono sources: 255
[I] 2024/09/17 08:25:26.861+0300 [            al-audio] devices:
[I] 2024/09/17 08:25:26.861+0300 [            al-audio]   OpenAL Soft
[I] 2024/09/17 08:25:26.862+0300 [              locale] locales [fi_FI (Suomi)] [uk_UA (Українська)] [pl_PL (Polski)] [ru_RU (Русский)] [en_US (English)] [de_DE (Deutsch)] [be_BY (Беларуская)] added
[I] 2024/09/17 08:25:26.863+0300 [           lua-state] Lua 5.1
[I] 2024/09/17 08:25:26.863+0300 [           lua-state] LuaJIT 2.1.0-beta3
[I] 2024/09/17 08:25:26.864+0300 [              engine] starting menu screen
[I] 2024/09/17 08:25:26.864+0300 [              locale] locales [fi_FI (Suomi)] [uk_UA (Українська)] [pl_PL (Polski)] [ru_RU (Русский)] [en_US (English)] [de_DE (Deutsch)] [be_BY (Беларуская)] added
[I] 2024/09/17 08:25:26.865+0300 [              engine] loading assets
[I] 2024/09/17 08:25:26.865+0300 [       assets-loader] loading textures/blocks as blocks
[I] 2024/09/17 08:25:26.866+0300 [       assets-loader] loading textures/items as items
[I] 2024/09/17 08:25:26.868+0300 [       assets-loader] loading fonts/font as normal
[I] 2024/09/17 08:25:26.872+0300 [       assets-loader] loading shaders/ui as ui
[I] 2024/09/17 08:25:26.877+0300 [       assets-loader] loading shaders/main as main
[I] 2024/09/17 08:25:26.878+0300 [       assets-loader] loading shaders/lines as lines
[I] 2024/09/17 08:25:26.878+0300 [       assets-loader] loading textures/gui/menubg as gui/menubg
[I] 2024/09/17 08:25:26.878+0300 [       assets-loader] loading textures/gui/delete_icon as gui/delete_icon
[I] 2024/09/17 08:25:26.878+0300 [       assets-loader] loading textures/gui/no_icon as gui/no_icon
[I] 2024/09/17 08:25:26.878+0300 [       assets-loader] loading textures/gui/no_world_icon as gui/no_world_icon
[I] 2024/09/17 08:25:26.878+0300 [       assets-loader] loading textures/gui/warning as gui/warning
[I] 2024/09/17 08:25:26.879+0300 [       assets-loader] loading textures/gui/error as gui/error
[I] 2024/09/17 08:25:26.879+0300 [       assets-loader] loading textures/gui/cross as gui/cross
[I] 2024/09/17 08:25:26.879+0300 [       assets-loader] loading textures/gui/refresh as gui/refresh
[I] 2024/09/17 08:25:26.880+0300 [           scripting] script (layout) /tmp/.mount_voxeleMYxhWW/usr/share/VoxelEngine/res/layouts/pages/main.xml.lua
[I] 2024/09/17 08:25:26.884+0300 [              engine] engine started
[I] 2024/09/17 08:25:28.007+0300 [      content-loader] loading pack [base]
[I] 2024/09/17 08:25:28.007+0300 [           scripting] script (block) /tmp/.mount_voxeleMYxhWW/usr/share/VoxelEngine/res/content/base/scripts/grass_block.lua
[I] 2024/09/17 08:25:28.008+0300 [           scripting] script (block) /tmp/.mount_voxeleMYxhWW/usr/share/VoxelEngine/res/content/base/scripts/sand.lua
[I] 2024/09/17 08:25:28.008+0300 [           scripting] script (block) /tmp/.mount_voxeleMYxhWW/usr/share/VoxelEngine/res/content/base/scripts/wooden_door.lua
[I] 2024/09/17 08:25:28.008+0300 [           scripting] script (item) /tmp/.mount_voxeleMYxhWW/usr/share/VoxelEngine/res/content/base/scripts/bazalt_breaker.lua
[I] 2024/09/17 08:25:28.009+0300 [           scripting] script (component) /tmp/.mount_voxeleMYxhWW/usr/share/VoxelEngine/res/content/base/scripts/components/drop.lua
[I] 2024/09/17 08:25:28.009+0300 [           scripting] script (component) /tmp/.mount_voxeleMYxhWW/usr/share/VoxelEngine/res/content/base/scripts/components/falling_block.lua
[I] 2024/09/17 08:25:28.009+0300 [           scripting] script (component) /tmp/.mount_voxeleMYxhWW/usr/share/VoxelEngine/res/content/base/scripts/components/player_animator.lua
[I] 2024/09/17 08:25:28.009+0300 [      content-loader] loading pack [vms_hud]
[I] 2024/09/17 08:25:28.009+0300 [           scripting] script (world) /home/minuta18/.voxeng/content/vms_hud/scripts/world.lua
[I] 2024/09/17 08:25:28.009+0300 [           scripting] script (component) /home/minuta18/.voxeng/content/vms_hud/scripts/components/hud_model.lua
[I] 2024/09/17 08:25:28.009+0300 [      content-loader] loading pack [explode_lib]
[I] 2024/09/17 08:25:28.010+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/explode_lib/scripts/explosive.lua
[I] 2024/09/17 08:25:28.010+0300 [      content-loader] loading pack [customworldgen]
[I] 2024/09/17 08:25:28.010+0300 [           scripting] script (world) /home/minuta18/.voxeng/content/custom_worldgen/scripts/world.lua
[I] 2024/09/17 08:25:28.010+0300 [      content-loader] loading pack [voxelcraft]
[I] 2024/09/17 08:25:28.010+0300 [           scripting] script (world) /home/minuta18/.voxeng/content/voxelcraft/scripts/world.lua
[I] 2024/09/17 08:25:28.012+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/crafting_table.lua
[I] 2024/09/17 08:25:28.012+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/furnace.lua
[I] 2024/09/17 08:25:28.012+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/chest.lua
[I] 2024/09/17 08:25:28.012+0300 [           scripting] script (component) /home/minuta18/.voxeng/content/voxelcraft/scripts/components/breaker_animator.lua
[I] 2024/09/17 08:25:28.012+0300 [      content-loader] loading pack [electrical_voxelcraft]
[I] 2024/09/17 08:25:28.014+0300 [           scripting] script (world) /home/minuta18/.voxeng/content/Electrical-Voxelcraft/scripts/world.lua
[I] 2024/09/17 08:25:28.015+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/Electrical-Voxelcraft/scripts/wire_logic.lua
[I] 2024/09/17 08:25:28.015+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/Electrical-Voxelcraft/scripts/wire_logic.lua
[I] 2024/09/17 08:25:28.015+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/Electrical-Voxelcraft/scripts/wire_logic.lua
[I] 2024/09/17 08:25:28.015+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/Electrical-Voxelcraft/scripts/wire_logic.lua
[I] 2024/09/17 08:25:28.015+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/Electrical-Voxelcraft/scripts/wire_logic.lua
[I] 2024/09/17 08:25:28.015+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/Electrical-Voxelcraft/scripts/wire_logic.lua
